Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Luke Treese,2023-24,Haverford,36,0.256,0.333,0.349,19,86,22,3,1,30,1,16,7,4,2,,16,,1,1,9,,,
Luke Treese,2024-25,Haverford,38,0.336,0.466,0.492,28,128,43,9,1,63,3,24,22,11,2,2,23,1,2,4,15,,,
