Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Matt Dahl,2023-24,Haverford,35,0.270,0.320,0.322,8,115,31,4,1,37,,23,7,2,1,1,25,4,3,1,4,,3,
Matt Dahl,2024-25,Haverford,30,0.323,0.376,0.455,25,99,32,5,1,45,2,26,6,3,1,1,21,2,,1,6,,2,
