Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Brynn Bickel,2023-24,Haverford,,,0,,,,,,
Brynn Bickel,2024-25,Haverford,,,0,,,,,,
Brynn Bickel,2025-26,Haverford,,,0,,,,,1,
Brynn Bickel,Career,,,,0,,,,,1,
