Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Jory Lee,2022-23,Haverford,7,0.200,0.429,0.200,2,5,1,,,1,,2,1,1,,,2,,,,,,,
Jory Lee,2024-25,Haverford,2,,,,,,,,,0,,,,,,,,,,,,,,
