Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Seth Anderson,2023-24,Haverford,19,171:21,9,35,25.71,3,20,15.00,11,12,91.67,1.84,32,14,21,35,1.84,6,2,,3,14,,,,,1.000,
Seth Anderson,2024-25,Haverford,20,286:09,32,71,45.07,9,34,26.47,8,14,57.14,3.40,81,23,45,68,3.40,19,18,8,12,25,,,,,2.333,0
Seth Anderson,2025-26,Haverford,13,206:24,18,51,35.29,5,19,26.32,3,5,60.00,4.08,44,22,31,53,4.08,14,13,5,2,16,,,,,2.000,0
Seth Anderson,Career,,52,663:54,59,157,37.58,17,73,23.29,22,31,70.97,3.00,157,59,97,156,3.00,39,33,13,17,55,,,,,,0
