Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Mei-Li Mikos,2024-25,Haverford,,,0,,,,,,
Mei-Li Mikos,2025-26,Haverford,,,0,,,,,,
Mei-Li Mikos,Career,,,,0,,,,,,
