Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Alexander Wysk,2022-23,Haverford,5,,,,0,,,1,1,,4,14
Alexander Wysk,2023-24,Haverford,6,,,,0,,,6,,1,12,32
Alexander Wysk,2024-25,Haverford,1,,,,0,,,1,,,,0
