Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Kylie McNamara,2022-23,Haverford,8,1,,3,,3,8,6,3,,1,2,1,,,,1
Kylie McNamara,2023-24,Haverford,19,16,19,27,5,32,59,44,17,24,7,10,5,,5,3,54
Kylie McNamara,2024-25,Haverford,21,4,11,27,4,31,59,39,12,16,5,7,5,,1,1,7
