Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Nadia Alavi,2024-25,Haverford,8,199:34,,,0,1,,1,,,,,,
Nadia Alavi,2025-26,Haverford,5,118:13,,,0,,,,,,,,,
