Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Lily Gover,2025-26,Haverford,1,,2,20,1,,,1,
Lily Gover,Career,,1,,2,20,1,,,1,
