Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Giana Coletti,2023-24,Haverford,2,27:43,,1,1,,,1,,,,,,
Giana Coletti,2025-26,Haverford,2,32:20,,,0,1,,,,,,,,
