Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Colin Lewis,2022-23,Haverford,13,,,,,,,,,0,,,,,,,,,,,,,,
Colin Lewis,2023-24,Haverford,13,,,,,,,,,0,,,,,,,,,,,,,,
Colin Lewis,2024-25,Haverford,9,,,,,,,,,0,,,,,,,,,,,,,,
