Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Ollie Abar,2023-24,Haverford,3,,,,0,1,,,,1,,0
Ollie Abar,2024-25,Haverford,5,,,,0,,,3,,,,0
