Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Philip Passalaqua,2022-23,Haverford,4,,,1,1,1,1,,1,,,0
Philip Passalaqua,2023-24,Haverford,16,1,11,10,21,51,29,11,16,,,0
Philip Passalaqua,2024-25,Haverford,16,13,28,26,54,91,54,23,27,2,,0
