Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Ali Dorrego,2023-24,Haverford,6,205:42,,,0,2,,1,,,,,,
Ali Dorrego,2024-25,Haverford,8,158:30,,,0,2,1,,,,,,,
Ali Dorrego,2025-26,Haverford,18,1012:03,,,0,9,5,10,,1,,,,
