Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Alex Kushnir,2025-26,Haverford,1,,1,5,1,2,,1,,1,,
Alex Kushnir,Career,,1,,1,5,1,2,,1,,1,,
