Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Poppy Swallow,2023-24,Haverford,1,2,4,5,,,,,
Poppy Swallow,2024-25,Haverford,,1,1,2,,,,,
Poppy Swallow,2025-26,Haverford,,2,2,7,,,,,
