Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Greenley Modica,2022-23,Haverford,2,37:00,,,0,,,,,,,,,
Greenley Modica,2024-25,Haverford,10,322:22,,,0,,,1,,,,,,
Greenley Modica,2025-26,Haverford,18,871:45,,,0,,,3,,,,,,
