Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Kira Chaney,2023-24,Haverford,23,73,200,128,631,0.114,11,40,35,177,429,26,2,11,1,247.5,2,
Kira Chaney,2024-25,Haverford,24,87,2,1,21,0.048,25,26,26,323,436,43,,,,28.0,1,
Kira Chaney,2025-26,Haverford,28,96,0,4,22,-0.182,64,27,30,313,443,24,,,,27.0,,
