Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Brianna Feifer,2022-23,Haverford,13:26,,4,0.00,,3,0.00,,,,,0.17,,1,1,0.17,,3,1,,5,6,,,,,,
Brianna Feifer,2023-24,Haverford,192:07,21,58,36.21,5,24,20.83,8,12,66.67,55,2.47,10,27,37,2.47,7,8,7,4,11,15,,,,,,
Brianna Feifer,2024-25,Haverford,806:03,84,210,40.00,27,76,35.53,28,36,77.78,223,4.92,24,99,123,4.92,57,39,32,17,32,25,,2,,,,
Brianna Feifer,2025-26,Haverford,441:19,54,146,36.99,13,42,30.95,22,29,75.86,143,5.86,19,63,82,5.86,19,34,28,22,25,14,1,1,,,,
