Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Cayla Menicola,2024-25,Haverford,124:17,26,41,63.41,2,5,40.00,4,6,66.67,58,1.50,5,13,18,1.50,13,7,6,1,12,12,,,,,,
Cayla Menicola,2025-26,Haverford,99:45,10,28,35.71,,5,0.00,3,6,50.00,23,3.60,7,11,18,3.60,4,4,3,2,13,5,,,,,,
