Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Raja Coleman,2025-26,Haverford,13,253:46,24,74,32.43,17,52,32.69,12,22,54.55,1.92,77,4,21,25,1.92,18,22,7,,30,,,1,,,0
Raja Coleman,Career,,35,327:44,28,89,31.46,18,59,30.51,18,33,54.55,0.80,92,6,22,28,0.80,22,23,11,1,36,,,1,,,0
