Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Ava Giardino,2024-25,Haverford,,,0,,,,,,
Ava Giardino,2025-26,Haverford,,,0,,,,1,,
Ava Giardino,Career,,,,0,,,,1,,
