Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Mena Kazista,2024-25,Haverford,,,0,,,,,,
Mena Kazista,2025-26,Haverford,,,0,,,,,,
Mena Kazista,Career,,,,0,,,,,,
