Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Madeline Dosen,2022-23,Haverford,2,36:00,,,0,,,,,,,,,
Madeline Dosen,2023-24,Haverford,11,292:23,,,0,1,1,1,,,,,,
Madeline Dosen,2024-25,Haverford,14,391:15,2,,4,9,4,3,,,,,,
Madeline Dosen,2025-26,Haverford,11,559:07,,,0,7,4,7,,1,,,,
