Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Kyra Van Denburgh,2023-24,Haverford,34,34,0.216,0.276,0.307,88,16,19,3,1,27,1,1,6,2,19,2,5,14,3,1,,,1,1,,,27,31
Kyra Van Denburgh,2024-25,Haverford,36,36,0.324,0.376,0.454,108,18,35,9,1,49,1,,6,3,18,,,10,4,1,1,,3,5,2,,25,31
