Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Adam Strong-Jacobson,2024-25,Haverford,25,421:26,72,130,55.38,4,10,40.00,36,57,63.16,5.20,184,53,77,130,5.20,25,26,9,17,21,3,,,,3.200,0
Adam Strong-Jacobson,2025-26,Haverford,13,272:24,57,91,62.64,8,16,50.00,37,57,64.91,8.38,159,34,75,109,8.38,15,24,15,17,19,5,,,,1.000,0
Adam Strong-Jacobson,Career,,38,693:50,129,221,58.37,12,26,46.15,73,114,64.04,6.29,343,87,152,239,6.29,40,50,24,34,40,8,,,,,0
