Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Audrey Jakway,2023-24,Haverford,462:36,63,190,33.16,13,60,21.67,26,40,65.00,165,4.38,33,72,105,4.38,16,50,8,7,39,24,,1,,,,
Audrey Jakway,2024-25,Haverford,723:52,130,312,41.67,23,77,29.87,35,62,56.45,318,8.13,55,140,195,8.13,26,75,33,17,56,24,3,7,,,,
Audrey Jakway,2025-26,Haverford,438:02,82,189,43.39,9,41,21.95,23,52,44.23,196,11.46,41,108,149,11.46,17,44,19,33,32,13,,7,1,,,
