Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Lindsey Turner,2023-24,Haverford,,,0,,,,,,
Lindsey Turner,2024-25,Haverford,,,0,,,,,,
Lindsey Turner,2025-26,Haverford,,,0,1,,,,,
