Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Bella Gattuso,2022-23,Haverford,6,,,7,3,10,11,10,,5,1,3,2,,,,
Bella Gattuso,2023-24,Haverford,9,2,,3,,3,10,6,,7,1,1,,,,,
Bella Gattuso,2024-25,Haverford,21,4,9,41,8,49,87,68,7,23,5,17,7,,4,3,
