Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Antonin Hoppmann-Salario,2022-23,Haverford,12,5,1,,1,3,1,11,4,8,,0
Antonin Hoppmann-Salario,2023-24,Haverford,1,,,,0,,,,,1,,0
Antonin Hoppmann-Salario,2024-25,Haverford,16,16,,,0,3,1,27,10,6,1,4
