Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Seamus McNally,2023-24,Haverford,15,3,12,10,22,33,17,18,10,1,,0
Seamus McNally,2024-25,Haverford,12,,3,2,5,11,7,4,2,2,,0
