Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Kalli Mullen,2023-24,Haverford,1,,,,,0,1,,,,,,,,,,
Kalli Mullen,2024-25,Haverford,21,2,17,3,1,4,7,7,1,2,2,3,1,,1,2,15
