Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Clare Hawley,2024-25,Haverford,16,460:23,1,,2,8,2,,,,,,,1
Clare Hawley,2025-26,Haverford,16,693:46,,2,2,7,3,2,,,,,,
