Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Lauren Anderson,2022-23,Haverford,18,9,17,,,0,,,16,9,7,,,,3,,2
Lauren Anderson,2023-24,Haverford,19,18,19,,1,1,1,,21,6,16,,,,3,1,4
Lauren Anderson,2024-25,Haverford,21,9,21,,,0,,,22,9,12,,,,3,1,1
