Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Ashley Peterson,2024-25,Haverford,38:21,3,11,27.27,2,7,28.57,,0,,8,0.08,,1,1,0.08,,2,,,4,13,,,,,,
Ashley Peterson,2025-26,Haverford,5:51,,1,0.00,,1,0.00,,0,,,,,,,,,,,,1,2,,,,,,
