Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Kolin Brandeis,2022-23,Haverford,12,,2,2,4,3,2,8,3,2,,0
Kolin Brandeis,2023-24,Haverford,16,15,,2,2,3,2,32,6,8,,0
Kolin Brandeis,2024-25,Haverford,16,15,1,2,3,4,3,39,7,6,,1
