Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Carly Rusak,2024-25,Haverford,16,264:52,2,,4,9,5,1,,,,,,1
Carly Rusak,2025-26,Haverford,14,442:58,,1,1,10,3,4,,,,,,
