Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Abby Litchfield,2022-23,Haverford,24,28,0.169,0.234,0.271,59,9,10,3,,16,1,,4,1,6,,4,9,1,,,,2,,,,24,18
Abby Litchfield,2023-24,Haverford,32,32,0.315,0.365,0.371,89,14,28,5,,33,,,3,4,17,,4,9,,1,1,,,,,,18,32
Abby Litchfield,2024-25,Haverford,32,32,0.209,0.253,0.267,86,10,18,3,1,23,,,3,2,13,,,14,5,,,,4,4,,,26,22
