Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Juan Rivera,2022-23,Haverford,10,,,1,1,,,,,,,
Juan Rivera,2023-24,Haverford,15,,3,4,1,4,,2,,,,
Juan Rivera,2024-25,Haverford,18,3,,9,5,10,,1,2,2,,
Juan Rivera,2025-26,Haverford,20,2,3,14,7,5,,,1,1,,
