Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Kayla Chu,2022-23,Haverford,33,10,0,5,8,-0.625,141,10,5,42,1,,,,,10.0,5,
Kayla Chu,2023-24,Haverford,87,25,26,10,95,0.168,617,28,13,177,8,1,,14,1,61.0,23,
Kayla Chu,2024-25,Haverford,85,25,9,3,45,0.133,297,30,18,131,3,1,,1,,39.5,2,
Kayla Chu,2025-26,Haverford,25,85,10,1,30,0.300,295,25,17,137,6,1,,,,35.0,1,
