Player Name,Year,Team,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,RBI2out
Alex Jenkinson,2023-24,Haverford,8,,,,,,,,,0,,,,,,,,,,,,,,
Alex Jenkinson,2024-25,Haverford,8,,,,,,,,,0,,,,,,,,,,,,,,
