Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Gabe Knopf,2022-23,Haverford,14,,,3,3,1,,,,,,
Gabe Knopf,2023-24,Haverford,17,,1,10,2,8,,1,,,,
Gabe Knopf,2024-25,Haverford,18,1,1,31,11,8,,2,,,,1
Gabe Knopf,2025-26,Haverford,20,1,1,15,6,5,,2,,,,1
Gabe Knopf,Career,,69,2,3,59,22,22,,5,,,,2
