Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Ethan Waugh,2023-24,Haverford,6,,2,,2,6,3,,,,,0
Ethan Waugh,2024-25,Haverford,11,,5,,5,15,10,2,2,2,,1
