Player Name,Year,Team,G,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Carter Warren,2024-25,Haverford,22,442:16,38,141,26.95,28,106,26.42,21,30,70.00,2.45,125,20,34,54,2.45,36,58,22,,47,,,2,,0.571,0
Carter Warren,2025-26,Haverford,13,252:46,22,83,26.51,16,66,24.24,13,17,76.47,2.92,73,10,28,38,2.92,41,28,13,1,32,,,1,,,0
Carter Warren,Career,,35,695:02,60,224,26.79,44,172,25.58,34,47,72.34,2.63,198,30,62,92,2.63,77,86,35,1,79,,,3,,,0
