Player Name,Year,Team,G,GS,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FOs Taken
Ben Kim,2023-24,Haverford,4,,,,0,1,1,1,3,,,0
Ben Kim,2024-25,Haverford,2,,,,0,,,,,,,0
