Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Cooper Cohen,2025-26,Haverford,6,1,,2,2,2,,,,,,
Cooper Cohen,Career,,6,1,,2,2,2,,,,,,
