Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Lindsey Darby,2023-24,Haverford,,,0,,,,,,
Lindsey Darby,2024-25,Haverford,,,0,,,,,,
Lindsey Darby,2025-26,Haverford,,,0,,,,,,
Lindsey Darby,Career,,,,0,,,,,,
