Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Jack Bonner,2023-24,Haverford,14,,,5,3,3,,2,,,,
Jack Bonner,2024-25,Haverford,2,,,,,1,,1,,,,
Jack Bonner,2025-26,Haverford,17,2,,17,8,7,1,1,,,,
Jack Bonner,Career,,33,2,,22,11,11,1,4,,,,
