Player Name,Year,Team,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Bench,Trpl Dbl
Lily Zawisny,2023-24,Haverford,52:53,7,20,35.00,,5,0.00,,0,,14,1.50,6,6,12,1.50,2,5,2,,5,8,,,,,,
Lily Zawisny,2024-25,Haverford,16:21,2,2,100.00,,,,,0,,4,0.25,,1,1,0.25,2,1,,1,3,4,,,,,,
