Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Alexis Brown,2022-23,Haverford,10,3,3,,,0,,,4,2,7,,,,,,2
Alexis Brown,2023-24,Haverford,1,,,,,0,,,,,1,,,,,,
Alexis Brown,2024-25,Haverford,21,5,17,,,0,,,24,6,12,,,,2,1,
