Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Louisa Coughlin,2023-24,Haverford,,,0,8,,,,,
Louisa Coughlin,2024-25,Haverford,3,1,7,32,,,,,
Louisa Coughlin,2025-26,Haverford,7,2,16,27,,,,1,1
Louisa Coughlin,Career,,10,3,23,67,,,,1,1
