Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Thomas Vanni,2023-24,Haverford,17,2,,17,6,5,,,,,,
Thomas Vanni,2024-25,Haverford,18,4,2,55,27,5,,1,,,,
Thomas Vanni,2025-26,Haverford,19,2,9,46,21,11,,,,,,
