Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Kyle Morano,2023-24,Haverford,,8,0.250,0.400,0.250,4,3,1,,,1,,,1,,,,,1,,,,,,,,,1,1
Kyle Morano,2024-25,Haverford,7,13,0.318,0.444,0.364,22,3,7,1,,8,,,3,2,8,,1,6,3,,,,,,,,5,3
