Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Kieran Kunihiro,2023-24,Haverford,11,1,,9,5,3,,,,,,1
Kieran Kunihiro,2024-25,Haverford,18,2,,9,5,8,,,,,,
Kieran Kunihiro,2025-26,Haverford,20,3,1,18,8,9,,1,,,,1
Kieran Kunihiro,Career,,49,6,1,36,18,20,,1,,,,2
