Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Emma Kirk,2023-24,Haverford,16,673:57,2,,4,14,7,1,,,,,,
Emma Kirk,2024-25,Haverford,14,690:18,,,0,5,4,,,1,,,,
Emma Kirk,2025-26,Haverford,18,1151:41,1,3,5,14,7,2,,,,,,
