Player Name,Year,Team,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,Freepos Shots,Freepos Goals,RC,YC,GC,Draw Controls
Daniela Martini,2023-24,Haverford,18,1,18,10,27,37,21,15,12,26,5,,,,,3,2
Daniela Martini,2024-25,Haverford,21,1,7,18,38,56,37,28,11,31,3,5,,,1,2,
