Player Name,Year,Team,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Carolina Sanchez,2024-25,Haverford,,,0,,,,,,
Carolina Sanchez,2025-26,Haverford,,,0,1,,,,,
