Player Name,Year,Team,Goal App,Goal Starts,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,G Wins,G Loss,G Ties
Allie Billups,2023-24,Haverford,5,4,303:20,6,1.780,6,0.500,1,1,2,
Allie Billups,2024-25,Haverford,5,4,375:04,2,0.480,12,0.857,2,2,1,1
Allie Billups,2025-26,Haverford,17,5,989:30,6,0.546,37,0.860,3,4,2,3
