Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Aaron Park,2024-25,Haverford,17,1,1,13,7,5,,2,,,,
Aaron Park,2025-26,Haverford,19,,1,7,3,6,,,,,,
