Player Name,Year,Team,GP,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Molly Morris,2023-24,Haverford,2,23:03,,,0,2,2,2,,,,,,
Molly Morris,2024-25,Haverford,11,245:22,1,,2,5,3,,,,,,,
Molly Morris,2025-26,Haverford,3,26:00,,,0,,,,,,,,,
