Player Name,Year,Team,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Fiona Moord,2024-25,Haverford,26,96,71,38,198,0.167,3,,,13,5,,18,80,7,129.0,3,
Fiona Moord,2025-26,Haverford,28,105,182,74,470,0.230,5,,,23,3,,18,95,4,247.5,,
