Player Name,Year,Team,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,SBA,CS,Picked,GO,FO
Grace Stowe,2023-24,Haverford,22,26,0.279,0.338,0.353,68,10,19,3,1,24,,,3,3,6,,1,9,2,,,,2,2,,,18,19
Grace Stowe,2024-25,Haverford,25,30,0.197,0.284,0.242,66,9,13,3,,16,,,8,,10,,1,11,3,1,,,3,3,,,21,19
