Player Name,Year,Team,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
John Dowd,2023-24,Haverford,13,,,2,,4,,1,,,,
John Dowd,2024-25,Haverford,10,,,5,3,6,,1,,,,
John Dowd,2025-26,Haverford,20,2,,17,6,13,,1,,,,1
John Dowd,Career,,43,2,,24,9,23,,3,,,,1
